date,pollution_today
02-01-2010,145.9583333
03-01-2010,78.83333333
04-01-2010,31.33333333
05-01-2010,42.45833333
06-01-2010,56.41666667
07-01-2010,69
08-01-2010,176.2083333
09-01-2010,88.5
10-01-2010,57.25
11-01-2010,20
12-01-2010,20.75
13-01-2010,40.20833333
14-01-2010,93.70833333
15-01-2010,45.45833333
16-01-2010,177.625
17-01-2010,209.2083333
18-01-2010,260.2083333
19-01-2010,340.75
20-01-2010,85.33333333
21-01-2010,27.04166667
22-01-2010,29.41666667
23-01-2010,23.96568627
24-01-2010,40.92647059
25-01-2010,64.22058824
26-01-2010,138.6372549
27-01-2010,122.3333333
28-01-2010,21.16666667
29-01-2010,23.875
30-01-2010,44.29166667
31-01-2010,39.25
01-02-2010,64.79166667
02-02-2010,65.625
03-02-2010,77.54166667
04-02-2010,58.5
05-02-2010,78.45833333
06-02-2010,76.125
07-02-2010,109.1666667
08-02-2010,178.0833333
09-02-2010,157.25
10-02-2010,12.41666667
11-02-2010,14.33333333
12-02-2010,23.08333333
13-02-2010,78.08333333
14-02-2010,131.9791667
15-02-2010,30
16-02-2010,93.58333333
17-02-2010,67.29166667
18-02-2010,79.66666667
19-02-2010,112.9583333
20-02-2010,178.5
21-02-2010,125.75
22-02-2010,94.5
23-02-2010,166.5
24-02-2010,277.7083333
25-02-2010,169.625
26-02-2010,69.875
27-02-2010,76.41666667
28-02-2010,83.58333333
01-03-2010,57.91666667
02-03-2010,90.08333333
03-03-2010,157.875
04-03-2010,186.0833333
05-03-2010,31.33333333
06-03-2010,50.04166667
07-03-2010,87.25
08-03-2010,48.33333333
09-03-2010,18
10-03-2010,59.58333333
11-03-2010,171.625
12-03-2010,49.20833333
13-03-2010,62.125
14-03-2010,83.875
15-03-2010,64.5
16-03-2010,64.25
17-03-2010,40.79166667
18-03-2010,157.6666667
19-03-2010,228.4166667
20-03-2010,203.0416667
21-03-2010,68.91666667
22-03-2010,157.125
23-03-2010,52.125
24-03-2010,62.83333333
25-03-2010,30.41666667
26-03-2010,67.70833333
27-03-2010,72.33333333
28-03-2010,71.79166667
29-03-2010,213.7083333
30-03-2010,215.0856481
31-03-2010,141.4351852
01-04-2010,28.04166667
02-04-2010,30.75
03-04-2010,101.2083333
04-04-2010,123.5
05-04-2010,135.0833333
06-04-2010,20.375
07-04-2010,92.875
08-04-2010,106
09-04-2010,85.91666667
10-04-2010,36.20833333
11-04-2010,68.75
12-04-2010,47.79166667
13-04-2010,20.125
14-04-2010,56.79166667
15-04-2010,171.0833333
16-04-2010,211
17-04-2010,147.5833333
18-04-2010,232.625
19-04-2010,211.125
20-04-2010,82.83333333
21-04-2010,39.58333333
22-04-2010,39.41666667
23-04-2010,33.16666667
24-04-2010,86.54166667
25-04-2010,87.5
26-04-2010,13.375
27-04-2010,24.66666667
28-04-2010,16.375
29-04-2010,18.66666667
30-04-2010,27.58333333
01-05-2010,69.375
02-05-2010,78.04166667
03-05-2010,109.875
04-05-2010,137.2916667
05-05-2010,125.4583333
06-05-2010,18.95833333
07-05-2010,96.41666667
08-05-2010,128.2916667
09-05-2010,79.875
10-05-2010,47.45833333
11-05-2010,16.04166667
12-05-2010,43.66666667
13-05-2010,67.33333333
14-05-2010,136.125
15-05-2010,181.75
16-05-2010,109.9583333
17-05-2010,69.375
18-05-2010,51.625
19-05-2010,33.91666667
20-05-2010,64.08333333
21-05-2010,108.2083333
22-05-2010,151.3333333
23-05-2010,125.25
24-05-2010,45.79166667
25-05-2010,33.20833333
26-05-2010,81.91666667
27-05-2010,85.35416667
28-05-2010,130.875
29-05-2010,143.5
30-05-2010,39.45833333
31-05-2010,84.41666667
01-06-2010,109.8875
02-06-2010,93.44583333
03-06-2010,115.4583333
04-06-2010,81.3390411
05-06-2010,101.1712329
06-06-2010,125.8287671
07-06-2010,137.9526256
08-06-2010,158.0964912
09-06-2010,83.88267544
10-06-2010,49.875
11-06-2010,86.83333333
12-06-2010,110.1666667
13-06-2010,115.9583333
14-06-2010,83.66666667
15-06-2010,146.375
16-06-2010,93.91666667
17-06-2010,36.66666667
18-06-2010,67.08333333
19-06-2010,94.5
20-06-2010,80.5
21-06-2010,74.20833333
22-06-2010,132.7916667
23-06-2010,90.70833333
24-06-2010,76.83333333
25-06-2010,163.4166667
26-06-2010,173.4166667
27-06-2010,117.9583333
28-06-2010,153.4166667
29-06-2010,188.5416667
30-06-2010,177.5
01-07-2010,126.1666667
02-07-2010,27.54166667
03-07-2010,68.95833333
04-07-2010,91.79166667
05-07-2010,48.08333333
06-07-2010,25.58333333
07-07-2010,56.91666667
08-07-2010,45.625
09-07-2010,86.16666667
10-07-2010,80.875
11-07-2010,163.9166667
12-07-2010,120.9583333
13-07-2010,106.25
14-07-2010,129.2916667
15-07-2010,195.9166667
16-07-2010,202.75
17-07-2010,113.6666667
18-07-2010,156.0416667
19-07-2010,167.8333333
20-07-2010,43.16666667
21-07-2010,70.83333333
22-07-2010,163.4583333
23-07-2010,173.5416667
24-07-2010,94.08333333
25-07-2010,164.2083333
26-07-2010,210.875
27-07-2010,183.75
28-07-2010,176.75
29-07-2010,197.5833333
30-07-2010,214.9166667
31-07-2010,125.5833333
01-08-2010,41.54166667
02-08-2010,68.79166667
03-08-2010,146.1666667
04-08-2010,120.0833333
05-08-2010,22.41666667
06-08-2010,19.875
07-08-2010,79.875
08-08-2010,92.83333333
09-08-2010,238.1666667
10-08-2010,148.1666667
11-08-2010,116.1666667
12-08-2010,92.33333333
13-08-2010,132.34843
14-08-2010,136.3478261
15-08-2010,125.2173913
16-08-2010,102.3363527
17-08-2010,141.875
18-08-2010,233.8333333
19-08-2010,110.1666667
20-08-2010,119.25
21-08-2010,38.66666667
22-08-2010,21.95833333
23-08-2010,79.375
24-08-2010,132.375
25-08-2010,87.625
26-08-2010,63.875
27-08-2010,39.41666667
28-08-2010,47.66666667
29-08-2010,114.8333333
30-08-2010,109.4166667
31-08-2010,88.79166667
01-09-2010,70.375
02-09-2010,96.20833333
03-09-2010,110.9166667
04-09-2010,93.58333333
05-09-2010,118.7916667
06-09-2010,153.9583333
07-09-2010,134.5833333
08-09-2010,96.54166667
09-09-2010,159.75
10-09-2010,99.75
11-09-2010,61.375
12-09-2010,121.2083333
13-09-2010,156.5833333
14-09-2010,195.7916667
15-09-2010,306.6666667
16-09-2010,195.5
17-09-2010,45.04166667
18-09-2010,23.29166667
19-09-2010,70.27083333
20-09-2010,92.75
21-09-2010,7.913995726
22-09-2010,12.27884615
23-09-2010,18.58653846
24-09-2010,24.89423077
25-09-2010,31.20192308
26-09-2010,37.50961538
27-09-2010,45.99553225
28-09-2010,86.53246753
29-09-2010,137.6493506
30-09-2010,188.8333333
01-10-2010,223.5
02-10-2010,35.04166667
03-10-2010,10
04-10-2010,24.54166667
05-10-2010,77.08333333
06-10-2010,268.8333333
07-10-2010,377.0833333
08-10-2010,368.2916667
09-10-2010,357.25
10-10-2010,387.9583333
11-10-2010,10.375
12-10-2010,50.79166667
13-10-2010,116.25
14-10-2010,16.04166667
15-10-2010,39.33333333
16-10-2010,76.25
17-10-2010,45.70833333
18-10-2010,67.75
19-10-2010,71.66666667
20-10-2010,82.20833333
21-10-2010,124.375
22-10-2010,168.9166667
23-10-2010,216.625
24-10-2010,101.4583333
25-10-2010,11.125
26-10-2010,13.04166667
27-10-2010,86.875
28-10-2010,77.29166667
29-10-2010,52.125
30-10-2010,50.70833333
31-10-2010,72.70833333
01-11-2010,51.77651515
02-11-2010,45.5
03-11-2010,71.43181818
04-11-2010,65.79166667
05-11-2010,101.5
06-11-2010,271.0833333
07-11-2010,69.375
08-11-2010,12.875
09-11-2010,59.33333333
10-11-2010,130.4583333
11-11-2010,75.75
12-11-2010,66.04166667
13-11-2010,17.04166667
14-11-2010,22
15-11-2010,52.91666667
16-11-2010,138.9583333
17-11-2010,320.1666667
18-11-2010,384.5
19-11-2010,370.3333333
20-11-2010,296.5833333
21-11-2010,136.7083333
22-11-2010,67.25
23-11-2010,230.875
24-11-2010,71.75
25-11-2010,66.625
26-11-2010,116.6666667
27-11-2010,27.66666667
28-11-2010,171.4166667
29-11-2010,190.4166667
30-11-2010,224.2083333
01-12-2010,257.625
02-12-2010,83.5
03-12-2010,74.75
04-12-2010,167.3333333
05-12-2010,78.45833333
06-12-2010,17.875
07-12-2010,57
08-12-2010,39.41666667
09-12-2010,193.9583333
10-12-2010,104.375
11-12-2010,45.75
12-12-2010,115.4583333
13-12-2010,20.83333333
14-12-2010,17.33333333
15-12-2010,22.41666667
16-12-2010,54.20833333
17-12-2010,108.3333333
18-12-2010,271.75
19-12-2010,153.125
20-12-2010,200.2916667
21-12-2010,434.8333333
22-12-2010,145.125
23-12-2010,23.16666667
24-12-2010,43.45833333
25-12-2010,55.58333333
26-12-2010,50.625
27-12-2010,79.70833333
28-12-2010,28.16666667
29-12-2010,36.625
30-12-2010,17.58333333
31-12-2010,18.66666667
01-01-2011,29
02-01-2011,36.66666667
03-01-2011,162.2916667
04-01-2011,91.33333333
05-01-2011,20.25
06-01-2011,15.875
07-01-2011,46.66666667
08-01-2011,59.6292517
09-01-2011,27.87755102
10-01-2011,52.36819728
11-01-2011,27
12-01-2011,62.79166667
13-01-2011,126.375
14-01-2011,17.58333333
15-01-2011,16.125
16-01-2011,36.08333333
17-01-2011,37.875
18-01-2011,20.20833333
19-01-2011,20.75
20-01-2011,38.75
21-01-2011,71.66666667
22-01-2011,56.29166667
23-01-2011,14.5
24-01-2011,44.29166667
25-01-2011,34.29166667
26-01-2011,67.54166667
27-01-2011,31.875
28-01-2011,18.20833333
29-01-2011,11.91666667
30-01-2011,21.20833333
31-01-2011,28.66666667
01-02-2011,35.08333333
02-02-2011,53.29166667
03-02-2011,100.875
04-02-2011,131.125
05-02-2011,113.25
06-02-2011,54.04166667
07-02-2011,141.625
08-02-2011,98.45833333
09-02-2011,126.875
10-02-2011,65
